City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,portrush,55.1959,-6.6493,10.34,91,65,4.15,GB,1689565760
1,ushuaia,-54.8,-68.3,0.81,75,40,1.54,AR,1689565760
2,brisas de zicatela,15.8369,-97.0419,26.64,83,100,1.52,MX,1689565760
3,udachny,66.4167,112.4,10.25,87,100,5.22,RU,1689565760
4,port-aux-francais,-49.35,70.2167,2.19,61,91,7.04,TF,1689565760
5,edinburgh of the seven seas,-37.0676,-12.3116,12.89,65,2,12.08,SH,1689565760
6,sao gabriel da cachoeira,-0.1303,-67.0892,22.61,99,100,0.78,BR,1689565760
7,east london,-33.0153,27.9116,16.12,44,55,2.15,ZA,1689565761
8,la passe,45.5549,-0.8967,17.77,80,1,1.47,FR,1689565761
9,bridgewater,44.3835,-64.5155,21.17,94,100,5.66,CA,1689565761
10,atherton,53.5237,-2.4935,13.75,90,16,1.9,GB,1689565761
11,port mathurin,-19.6833,63.4167,23.17,72,94,11.65,MU,1689565761
12,castanos,26.7833,-101.4167,33.52,21,7,5.08,MX,1689565762
13,flying fish cove,-10.4217,105.6791,25.82,78,100,5.14,CX,1689565762
14,adamstown,-25.066,-130.1015,21.37,78,100,4.54,PN,1689565762
15,bethel,41.3712,-73.414,24.05,90,100,0.0,US,1689565738
16,klyuchi,52.2667,79.1667,23.35,52,20,3.47,RU,1689565762
17,nizao,18.25,-70.2,27.48,79,100,5.86,DO,1689565762
18,canutama,-6.5339,-64.3831,23.43,86,76,0.5,BR,1689565763
19,minas de marcona,-15.2119,-75.1103,12.12,87,29,4.57,PE,1689565763
20,montepuez,-13.1256,38.9997,15.93,84,12,3.55,MZ,1689565764
21,blackmans bay,-43.0167,147.3167,15.96,52,46,4.03,AU,1689565764
22,yellowknife,62.456,-114.3525,21.29,52,100,3.09,CA,1689565485
23,constantia,44.1833,28.65,20.39,61,0,1.95,RO,1689565765
24,bredasdorp,-34.5322,20.0403,12.36,78,100,2.48,ZA,1689565765
25,bilibino,68.0546,166.4372,27.32,29,92,6.05,RU,1689565765
26,college,64.8569,-147.8028,21.99,46,75,3.09,US,1689565765
27,papatowai,-46.5619,169.4708,10.17,90,100,7.58,NZ,1689565766
28,puerto ayora,-0.7393,-90.3518,24.75,95,55,2.68,EC,1689565766
29,stanley,54.868,-1.6985,10.95,90,20,2.06,GB,1689565766
30,trairi,-3.2778,-39.2689,25.3,80,7,4.96,BR,1689565766
31,hadibu,12.65,54.0333,25.38,81,85,10.93,YE,1689565766
32,cafayate,-26.073,-65.9761,8.38,64,13,1.41,AR,1689565766
33,siwa oasis,29.2041,25.5195,27.99,39,0,2.24,EG,1689565767
34,dawson creek,55.7666,-120.2362,17.54,88,40,4.12,CA,1689565767
35,holualoa,19.6228,-155.9522,25.91,81,100,4.12,US,1689565767
36,houghton,47.1219,-88.569,14.71,94,100,3.09,US,1689565500
37,saipan,15.1355,145.701,31.39,100,75,7.72,MP,1689565767
38,ribeira grande,38.5167,-28.7,18.21,84,20,3.13,PT,1689565768
39,keflavik,64.0049,-22.5624,8.95,76,0,4.12,IS,1689565768
40,dunedin,-45.8742,170.5036,15.45,44,100,5.1,NZ,1689565683
41,port elizabeth,-33.918,25.5701,8.16,93,0,2.06,ZA,1689565768
42,port saint john's,-31.6229,29.5448,16.17,55,70,2.95,ZA,1689565769
43,salekhard,66.53,66.6019,22.31,50,99,5.15,RU,1689565769
44,hithadhoo,-0.6,73.0833,27.7,72,77,1.24,MV,1689565769
45,nyakabindi,-2.6333,33.9833,15.66,58,2,2.98,TZ,1689565769
46,puerto natales,-51.7236,-72.4875,-0.6,90,99,2.19,CL,1689565769
47,luderitz,-26.6481,15.1594,17.19,43,0,2.53,NA,1689565769
48,taoudenni,22.6783,-3.9836,34.64,31,47,4.2,ML,1689565769
49,callao,-12.0667,-77.15,21.16,73,75,5.14,PE,1689565770
50,new norfolk,-42.7826,147.0587,16.62,58,26,4.93,AU,1689565770
51,redwood falls,44.5394,-95.1169,16.97,59,0,2.57,US,1689565770
52,kapuskasing,49.4169,-82.4331,15.0,94,75,2.06,CA,1689565561
53,sept-iles,50.2001,-66.3821,17.29,99,100,3.13,CA,1689565770
54,hafar al-batin,28.4328,45.9708,32.32,12,0,1.54,SA,1689565770
55,olonkinbyen,70.9221,-8.7187,3.99,97,100,9.88,SJ,1689565771
56,swakopmund,-22.6833,14.5333,21.47,34,0,5.06,NA,1689565771
57,aasiaat,68.7098,-52.8699,2.63,95,100,2.51,GL,1689565771
58,thompson,55.7435,-97.8558,16.09,82,100,2.06,CA,1689565632
59,sundsvall,62.3913,17.3063,14.98,88,75,3.6,SE,1689565771
60,ndioum,16.5129,-14.6471,26.94,73,94,7.2,SN,1689565771
61,byron bay,-28.65,153.6167,19.78,62,94,4.69,AU,1689565493
62,lewistown,40.5992,-77.5714,22.41,94,0,0.0,US,1689565750
63,invercargill,-46.4,168.35,10.74,90,100,8.52,NZ,1689565772
64,malvan,16.0667,73.4667,26.78,86,100,7.03,IN,1689565772
65,carauari,-4.8828,-66.8958,22.86,95,98,0.76,BR,1689565772
66,veraval,20.9,70.3667,28.5,79,65,5.49,IN,1689565772
67,xining,36.6167,101.7667,22.1,43,43,1.16,CN,1689565772
68,margaret river,-33.95,115.0667,16.07,64,69,1.88,AU,1689565772
69,mazamari,-11.3258,-74.5308,23.14,77,91,0.56,PE,1689565773
70,dudinka,69.4058,86.1778,10.9,45,35,8.29,RU,1689565773
71,avarua,-21.2078,-159.775,23.03,60,100,2.57,CK,1689565773
72,jamestown,42.097,-79.2353,20.95,77,0,2.57,US,1689565773
73,fale old settlement,-9.3852,-171.2468,28.68,75,13,7.51,TK,1689565773
74,saint-louis,16.3333,-15.0,26.8,75,92,6.75,SN,1689565773
75,palmer,42.1584,-72.3287,23.65,86,75,2.57,US,1689565774
76,aibonito,18.14,-66.266,25.04,95,100,4.02,PR,1689565774
77,newtownabbey,54.6598,-5.9086,11.94,89,11,2.57,GB,1689565774
78,tolanaro,-25.0319,46.9987,17.04,94,20,0.0,MG,1689565774
79,korhogo,9.45,-5.6333,21.27,96,99,1.46,CI,1689565701
80,susuman,62.7833,148.1667,20.15,43,100,3.65,RU,1689565774
81,waitangi,-43.9535,-176.5597,9.9,79,100,1.34,NZ,1689565774
82,touros,-5.1989,-35.4608,22.96,87,11,4.74,BR,1689565774
83,tura,25.5198,90.2201,26.58,83,100,2.06,IN,1689565775
84,prince rupert,54.3161,-130.3201,15.05,86,100,3.09,CA,1689565511
85,gryazovets,58.88,40.2525,17.06,75,100,1.92,RU,1689565775
86,broken hill,-31.95,141.4333,15.04,38,3,2.51,AU,1689565648
87,longyearbyen,78.2186,15.6401,6.91,70,75,5.66,SJ,1689565775
88,cassilandia,-19.1133,-51.7342,20.6,56,61,1.57,BR,1689565775
89,st. john's,47.5649,-52.7093,20.15,95,100,5.14,CA,1689565621
90,kodiak,57.79,-152.4072,12.73,82,100,1.54,US,1689565776
91,bumba,2.1833,22.4667,22.6,79,12,0.26,CD,1689565776
92,badger,64.8,-147.5333,21.95,45,100,3.09,US,1689565776
93,luganville,-15.5333,167.1667,24.7,85,99,7.51,VU,1689565776
94,albany,42.6001,-73.9662,21.98,93,78,1.61,US,1689565510
95,hasaki,35.7333,140.8333,33.22,70,59,3.58,JP,1689565776
96,codrington,-38.2667,141.9667,13.44,62,0,5.64,AU,1689565776
97,nemuro,43.3236,145.575,13.28,92,99,2.66,JP,1689565777
98,road town,18.4167,-64.6167,28.05,79,98,9.86,VG,1689565649
99,maun,-19.9833,23.4167,8.97,45,37,2.8,BW,1689565777
100,tiksi,71.6872,128.8694,7.77,90,100,6.28,RU,1689565777
101,utrik,11.2278,169.8474,28.12,79,77,6.65,MH,1689565777
102,grytviken,-54.2811,-36.5092,-6.56,84,84,2.02,GS,1689565777
103,nantucket,41.2835,-70.0995,22.78,99,75,5.66,US,1689565777
104,hawaiian paradise park,19.5933,-154.9731,25.73,82,100,3.6,US,1689565778
105,ambon,-3.6954,128.1814,27.91,100,40,3.09,ID,1689565778
106,tazovsky,67.4667,78.7,13.04,73,100,7.83,RU,1689565778
107,nanakuli,21.3906,-158.1547,28.97,58,75,5.14,US,1689565778
108,parun,35.4207,70.9221,19.59,33,0,0.17,AF,1689565778
109,argo,37.6333,22.7333,28.77,51,0,2.14,GR,1689565778
110,lagoa,39.05,-27.9833,19.19,73,26,3.04,PT,1689565779
111,pathein,16.7833,94.7333,26.94,85,100,4.37,MM,1689565779
112,suluru,13.7,80.0167,32.31,49,100,6.37,IN,1689565779
113,altay,47.8667,88.1167,27.32,21,1,2.38,CN,1689565779
114,iqaluit,63.7506,-68.5145,6.85,100,100,2.24,CA,1689565779
115,kelo,9.3086,15.8066,24.65,71,3,1.55,TD,1689565779
116,happy valley-goose bay,53.3168,-60.3315,23.17,73,75,5.14,CA,1689565779
117,ilulissat,69.2167,-51.1,5.01,100,100,1.03,GL,1689565779
118,iskateley,67.6803,53.1512,17.06,75,71,4.09,RU,1689565780
119,gadzhiyevo,69.2551,33.3362,16.92,64,100,4.43,RU,1689565780
120,cabo san lucas,22.8909,-109.9124,29.17,76,0,4.63,MX,1689565673
121,itaberaba,-12.5275,-40.3069,18.11,96,1,0.48,BR,1689565780
122,longuenesse,50.734,2.2352,13.6,91,6,3.47,FR,1689565780
123,afaahiti,-17.75,-149.2833,26.7,57,1,1.81,PF,1689565780
124,lerwick,60.1545,-1.1494,12.0,90,100,7.2,GB,1689565781
125,hamilton,39.1834,-84.5333,22.82,92,75,3.6,US,1689565659
126,aras-asan,8.8908,126.3033,27.6,82,84,2.78,PH,1689565781
127,olyokminsk,60.3736,120.4264,27.39,33,49,5.31,RU,1689565781
128,abilene,32.4487,-99.7331,32.12,34,0,3.09,US,1689565496
129,amuntai,-2.4177,115.2494,24.95,80,100,0.44,ID,1689565781
130,tucurui,-3.7661,-49.6725,25.94,63,81,1.2,BR,1689565781
131,northam,51.0333,-4.2167,13.7,90,13,4.88,GB,1689565782
132,crane,31.3974,-102.3501,31.84,25,0,7.17,US,1689565782
133,bathsheba,13.2167,-59.5167,27.34,89,40,7.72,BB,1689565782
134,as salamiyah,35.0113,37.0532,26.47,37,0,2.8,SY,1689565782
135,mana,5.6592,-53.7767,25.16,91,16,4.17,GF,1689565782
136,benguela,-12.5763,13.4055,21.33,71,3,2.38,AO,1689565782
137,morehead city,34.7229,-76.726,28.34,90,0,4.12,US,1689565782
138,ponta delgada,37.7333,-25.6667,19.4,82,75,4.63,PT,1689565612
139,chirilagua,13.2203,-88.1386,25.89,65,100,1.02,SV,1689565783
140,atafu village,-8.5421,-172.5159,28.82,76,98,7.45,TK,1689565783
141,chibougamau,49.9168,-74.3659,18.79,94,0,1.54,CA,1689565726
142,bom jardim,-7.7958,-35.5872,18.69,96,7,1.3,BR,1689565783
143,kasongo-lunda,-6.4667,16.8167,20.43,46,0,1.28,CD,1689565783
144,rongelap,11.1635,166.8941,28.45,78,85,6.17,MH,1689565783
145,west island,-12.1568,96.8225,26.99,61,40,6.17,CC,1689565783
146,boise,43.6135,-116.2035,35.45,33,29,3.08,US,1689565746
147,petropavlovsk-kamchatsky,53.0452,158.6483,19.33,68,75,6.0,RU,1689565784
148,antalaha,-14.9003,50.2788,20.84,90,63,3.05,MG,1689565784
149,ouahigouya,13.5828,-2.4216,28.66,60,93,2.4,BF,1689565784
150,khilok,51.3674,110.4676,29.59,35,71,2.0,RU,1689565784
151,halifax,44.6453,-63.5724,20.94,95,100,4.63,CA,1689565784
152,as sulayyil,20.4607,45.5779,29.14,11,98,2.55,SA,1689565784
153,portland,45.5234,-122.6762,26.97,49,0,5.14,US,1689565504
154,marka,1.7159,44.7717,24.97,81,80,7.21,SO,1689565785
155,ancud,-41.8697,-73.8203,2.04,87,25,3.12,CL,1689565785
156,cowansville,45.2001,-72.7491,22.27,95,100,1.03,CA,1689565785
157,zouerate,22.7187,-12.4521,24.83,52,3,6.16,MR,1689565785
158,puerto armuelles,8.2833,-82.8667,27.27,84,100,1.34,PA,1689565785
159,laguna,38.421,-121.4238,36.36,42,0,6.69,US,1689565786
160,san luis de la loma,17.2706,-100.8939,27.61,87,30,0.81,MX,1689565786
161,punta arenas,-53.15,-70.9167,4.06,75,75,8.23,CL,1689565593
162,nola,40.922,14.5329,28.13,79,0,0.98,IT,1689565786
163,enewetak,11.3474,162.3373,28.4,78,98,6.21,MH,1689565786
164,turtas,58.9417,69.1325,20.37,53,50,2.9,RU,1689565786
165,kodinsk,58.6881,99.1844,23.24,48,59,4.17,RU,1689565786
166,chonchi,-42.6128,-73.8092,1.73,92,7,1.02,CL,1689565788
167,anadyr,64.75,177.4833,26.28,34,0,6.0,RU,1689565788
168,tamanrasset,22.785,5.5228,24.95,27,9,2.06,DZ,1689565692
169,pinsk,52.1229,26.0951,19.79,90,29,2.21,BY,1689565788
170,sinabang,2.4803,96.3801,28.37,72,100,2.01,ID,1689565788
171,sandnessjoen,66.0217,12.6316,15.23,82,75,8.23,NO,1689565788
172,tsiombe,-25.3,45.4833,15.58,87,20,2.01,MG,1689565789
173,manali,13.1667,80.2667,32.05,70,100,5.08,IN,1689565789
174,black river,18.0264,-77.8487,26.78,82,40,1.35,JM,1689565789
175,mahdia,35.5047,11.0622,25.97,72,0,4.08,TN,1689565789
176,khash,28.2211,61.2158,31.41,9,3,2.29,IR,1689565789
177,whitby,54.4877,-0.615,12.95,87,42,0.89,GB,1689565733
178,gazojak,41.1875,61.4036,36.17,15,14,3.41,TM,1689565789
179,penzance,50.1186,-5.5371,13.38,83,33,6.94,GB,1689565790
180,uturoa,-16.7333,-151.4333,25.71,65,3,4.81,PF,1689565790
181,at taj,24.2049,23.2857,26.09,16,0,2.07,LY,1689565790
182,gelnhausen,50.2,9.1833,17.77,76,57,1.85,DE,1689565790
183,zorritos,-3.6805,-80.6782,26.16,78,93,2.19,PE,1689565790
184,talnakh,69.4865,88.3972,10.67,56,88,5.48,RU,1689565790
185,berezovyy,51.6667,135.7,27.22,47,69,3.16,RU,1689565790
186,tommot,58.9564,126.2925,23.53,50,34,4.0,RU,1689565791
187,hermanus,-34.4187,19.2345,9.89,79,100,3.25,ZA,1689565791
188,kolonia,50.9333,6.95,18.31,71,0,1.54,DE,1689565524
189,ust-nera,64.5667,143.2,17.06,39,100,2.86,RU,1689565791
190,ascension,30.2169,-90.9001,24.12,99,90,2.57,US,1689565791
191,whitehorse,60.7161,-135.0538,26.12,29,75,5.14,CA,1689565524
192,port alfred,-33.5906,26.891,16.21,50,36,2.98,ZA,1689565791
193,freetown,8.484,-13.2299,24.63,89,96,2.82,SL,1689565792
194,weno,7.4515,151.8468,26.97,89,100,1.54,FM,1689565792
195,porto novo,6.4965,2.6036,26.9,91,100,3.37,BJ,1689565792
196,tabas,33.5959,56.9244,35.45,14,0,1.5,IR,1689565792
197,baynjiwayn,35.6183,45.9541,28.36,17,0,1.62,IQ,1689565792
198,benjamin aceval,-24.9667,-57.5667,16.08,66,76,2.93,PY,1689565792
199,vorgashor,67.5833,63.95,17.0,83,100,5.66,RU,1689565792
200,wailua homesteads,22.0669,-159.378,27.24,84,75,8.75,US,1689565793
201,gordon,34.5004,-84.8666,24.94,96,47,0.0,US,1689565621
202,guaruja,-23.9931,-46.2564,19.38,26,8,0.47,BR,1689565662
203,kununurra,-15.7667,128.7333,30.99,27,7,5.66,AU,1689565793
204,tambopata,-12.7333,-69.1833,24.5,68,100,0.47,PE,1689565793
205,jiangyou,31.7667,104.7167,30.92,59,0,2.07,CN,1689565793
206,lower sackville,44.7733,-63.6885,20.45,96,75,4.63,CA,1689565793
207,morondava,-20.2833,44.2833,20.16,49,33,4.26,MG,1689565794
208,thunder bay,48.4001,-89.3168,11.99,94,75,2.06,CA,1689565748
209,luwuk,-0.9516,122.7875,29.06,63,95,3.4,ID,1689565794
210,vilyuchinsk,52.9306,158.4028,20.15,86,59,3.35,RU,1689565794
211,kone,-21.0595,164.8658,24.24,45,13,4.12,NC,1689565794
212,luanda,-8.8368,13.2343,21.0,88,75,1.03,AO,1689565794
213,astrakhan,46.3497,48.0408,19.95,64,0,5.0,RU,1689565720
214,kokoda,-8.8785,147.7407,31.54,50,47,0.91,PG,1689565795
215,odda,60.0691,6.5457,15.43,99,100,3.32,NO,1689565795
216,palestine,31.9216,35.2033,27.16,43,0,0.87,PS,1689565795
217,lompoc,34.6391,-120.4579,25.08,93,75,1.54,US,1689565795
218,guerrero negro,27.9769,-114.0611,20.5,83,13,5.24,MX,1689565795
219,fort st. john,56.2499,-120.8529,19.94,60,100,3.6,CA,1689565795
220,marsh harbour,26.5412,-77.0636,29.03,74,92,4.91,BS,1689565796
221,remire-montjoly,4.9167,-52.2667,23.02,100,20,0.0,GF,1689565796
222,smithers,54.7804,-127.1743,15.18,88,75,2.06,CA,1689565513
223,salavan,15.7167,106.4167,23.54,98,100,1.12,LA,1689565796
224,ibarreta,-25.2144,-59.8585,13.32,72,60,3.13,AR,1689565796
225,oromocto,45.8351,-66.4792,20.96,100,100,3.6,CA,1689565796
226,lulea,65.5842,22.1547,16.04,94,100,4.12,SE,1689565706
227,loango,-4.6719,11.8312,21.81,94,75,1.03,CG,1689565797
228,maua,-23.6678,-46.4614,18.16,65,28,0.89,BR,1689565797
229,segou,13.4317,-6.2157,26.52,74,100,3.05,ML,1689565797
230,ranikhet,29.65,79.4167,22.65,70,23,1.55,IN,1689565797
231,kalabo,-14.97,22.6814,8.7,65,1,2.5,ZM,1689565797
232,nuuk,64.1835,-51.7216,9.34,93,100,11.83,GL,1689565797
233,soro,21.2881,86.6858,31.04,67,100,1.56,IN,1689565798
234,george town,5.4112,100.3354,31.96,83,20,1.54,MY,1689565798
235,sisimiut,66.9395,-53.6735,7.5,97,100,1.87,GL,1689565798
236,palikir - national government center,6.9248,158.1611,27.47,78,100,5.14,FM,1689565798
237,khamis mushait,18.3064,42.7292,20.58,72,0,0.0,SA,1689565798
238,meridian,43.6121,-116.3915,35.62,34,0,0.0,US,1689565798
239,georgetown,5.4112,100.3354,31.96,83,20,1.54,MY,1689565693
240,mirny,62.5353,113.9611,20.92,46,100,4.64,RU,1689565799
241,kovel,51.2153,24.7087,20.76,85,8,2.05,UA,1689565799
242,sosnogorsk,63.6023,53.8817,22.16,46,15,2.15,RU,1689565799
243,grasberg,53.1833,8.9833,16.97,78,66,3.39,DE,1689565799
244,noumea,-22.2763,166.4572,22.78,99,93,6.64,NC,1689565799
245,horta,38.5333,-28.6333,17.79,84,22,3.13,PT,1689565799
246,tarawa,1.419,172.984,29.05,79,40,2.06,KI,1689565800
247,castillos,-34.1667,-53.8333,5.66,78,78,3.68,UY,1689565800
248,taghazout,30.5426,-9.7112,20.43,86,0,0.92,MA,1689565800
249,bezhetsk,57.7851,36.6965,16.99,77,0,1.62,RU,1689565800
250,jinchang,38.4953,102.1739,30.19,20,17,3.74,CN,1689565800
251,mount isa,-20.7333,139.5,26.87,29,40,4.63,AU,1689565801
252,tazacorte,28.629,-17.9293,22.54,75,75,8.23,ES,1689565801
253,haiku-pauwela,20.9219,-156.3051,28.01,59,40,8.75,US,1689565801
254,basco,20.4487,121.9702,29.52,79,98,5.15,PH,1689565801
255,carutapera,-1.195,-46.02,23.73,95,16,2.66,BR,1689565801
256,mareeba,-17.0,145.4333,24.69,60,54,3.49,AU,1689565801
257,puerto baquerizo moreno,-0.9,-89.6,24.99,85,53,5.51,EC,1689565802
258,bangui,4.3612,18.555,23.1,94,14,1.03,CF,1689565802
259,palmas,-10.2128,-48.3603,23.93,64,0,2.06,BR,1689565802
260,lihue,21.9789,-159.3672,27.58,80,75,8.75,US,1689565802
261,mejit,10.2753,170.8646,28.29,77,63,5.87,MH,1689565803
262,koungou,-12.7336,45.2042,25.84,73,75,7.72,YT,1689565803
263,floro,61.5996,5.0328,14.98,88,100,6.17,NO,1689565803
264,rabigh,22.7986,39.0349,30.19,74,18,2.39,SA,1689565803
265,zayed city,24.3768,54.589,35.56,49,0,3.6,AE,1689565804
266,north bend,43.4065,-124.2243,16.62,88,100,5.14,US,1689565804
267,lawas,13.764,121.0566,30.55,73,100,3.11,PH,1689565804
268,dori,14.0354,-0.0345,31.63,49,96,2.85,BF,1689565804
269,rawson,-43.3002,-65.1023,1.67,50,0,5.75,AR,1689565804
270,kenton,38.9501,-84.5333,22.33,81,75,3.6,US,1689565805
271,yemetsk,63.4721,41.7941,20.57,58,87,1.88,RU,1689565805
272,alo,7.4178,6.7371,23.61,98,100,1.22,NG,1689565805
273,greenville,35.6127,-77.3663,26.18,94,0,0.0,US,1689565505
274,pak phanang,8.3511,100.202,33.35,55,100,4.43,TH,1689565805
275,tralee,52.2704,-9.7026,11.25,93,76,3.53,IE,1689565806
276,am timan,11.0297,20.2827,23.25,78,100,1.18,TD,1689565806
277,aleksandrovsk,59.158,57.5624,21.56,55,9,2.86,RU,1689565806
278,benjamin constant,-4.3831,-70.0311,24.07,99,67,0.51,BR,1689565806
279,coutras,45.0333,-0.1333,16.03,76,87,1.41,FR,1689565806
280,port-vila,-17.7338,168.3219,24.78,69,75,9.26,VU,1689565807
281,port lincoln,-34.7333,135.8667,14.23,43,0,4.66,AU,1689565807
282,klaksvik,62.2266,-6.589,8.51,89,100,9.05,FO,1689565807
283,mount pearl,47.5166,-52.7813,19.69,95,100,5.14,CA,1689565579
284,tortoli,39.9256,9.6572,23.9,88,0,2.06,IT,1689565807
285,hotan,37.0997,79.9269,34.81,11,96,1.74,CN,1689565807
286,banda aceh,5.5577,95.3222,30.38,63,98,7.11,ID,1689565808
